Description	Resource	Path	Location	Type
The method getEmail() is undefined for the type UsuarioDTO	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 60	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 61	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 77	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 77	Java Problem
The method getEmail() is undefined for the type UsuarioDTO	UsuarioServiceImpl.java	/Pos-24/src/main/java/com/pos24/service/impl	line 78	Java Problem
The method getId() is undefined for the type Chamado	ChamadoMapper.java	/Pos-24/src/main/java/com/pos24/mapper	line 40	Java Problem
The method getId() is undefined for the type Chamado	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 78	Java Problem
The method getId() is undefined for the type Cliente	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 43	Java Problem
The method getId() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 25	Java Problem
The method getId() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 59	Java Problem
The method getId() is undefined for the type FollowUp	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 46	Java Problem
The method getId() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 27	Java Problem
The method getId() is undefined for the type FollowUpDTO	FollowUpMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 63	Java Problem
The method getId() is undefined for the type Usuario	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 51	Java Problem
The method getId() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 27	Java Problem
The method getId() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 73	Java Problem
The method getNome() is undefined for the type Cliente	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 46	Java Problem
The method getNome() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 28	Java Problem
The method getNome() is undefined for the type ClienteDTO	ClienteMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 62	Java Problem
The method getNome() is undefined for the type Usuario	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 55	Java Problem
The method getNome() is undefined for the type UsuarioDTO	UsuarioMapperImpl.java	/Pos-24/target/generated-sources/annotations/com/pos24/mapper	line 31	Java Problem
